zip_code,price_2024,pct_change_1yr,pct_change_3yr,pct_change_5yr,income_2023,income_growth_pct,pop_change_pct,population_2023,pct_renter_2023,median_rooms_2023,permit_growth_pct,value_growth_pct,recent_permit_count,monthly_rent_estimate,rent_data_date,price_1bed,price_2bed,price_3bed,price_4bed,price_5bed,bed_price_spread,price_2bed_premium,price_3bed_premium,has_price_data,has_census_data,has_permit_data,has_rent_data,has_bedroom_data,data_completeness,neighborhoods,bedroom_data_reliable,price_3bed_clean,price_4bed_clean,price_5bed_clean,low_pop_flag,population_2023_clean,pop_change_pct_clean,rent_imputed,monthly_rent_final,pct_change_1yr_ann,pct_change_3yr_ann,pct_change_5yr_ann,pct_change_1yr_w,pct_change_3yr_w,pct_change_5yr_w,permit_growth_pct_w,income_growth_pct_w,pop_change_pct_w,price_blend_raw,score_price_blend,score_price_1yr_ann,score_price_3yr_ann,score_price_5yr_ann,score_income_growth,score_pop_change,score_permit_growth,score_permit_volume,score_rent_level,score_pct_renter,investment_score_raw,investment_score,rank,score_tier,is_mpls_city
55406,328908.6231220083,2.0549283178801496,6.337784774155483,18.68676782340187,92116.53857383491,45.25837283178187,4.111008285033511,3387.6701291409313,34.24308437905728,5.467956204379561,124.86922906971972,132.01904987374118,2603,1489.1851674641148,2026-03-31,206861.15994640533,297415.56956701074,370343.8379213973,441276.51149514294,483521.58914116886,276660.42919476354,43.77545289027032,24.520662607057993,TRUE,TRUE,TRUE,TRUE,TRUE,100,Howe / Hiawatha / Cooper / Standish / Seward / Longfellow,TRUE,370343.8379213973,441276.51149514294,483521.58914116886,FALSE,3387.6701291409313,4.111008285033511,FALSE,1489.1851674641148,2.0549283178801496,2.06947233519843,3.4857283347626833,2.0549283178801496,2.06947233519843,3.4857283347626833,124.86922906971972,45.25837283178187,4.111008285033511,2.418445929028095,62.34554380742458,73.41270717176953,52.893863488584614,52.30532343849009,78.39615124749754,49.63793589250984,98.3071757284203,100,15.075692751907036,66.68707797656896,75.33581923161098,75.33581923161098,1,High Opportunity,TRUE
55412,223272.43862975013,0.9625456763860144,5.7926488038502715,21.916050221752677,76082.29479517546,64.71941718942068,10.622301446210754,4266.554601760296,26.50323888358082,6.013354340975767,63.52726554133484,16.025704220440076,636.6666666666666,1898.222222222222,2026-03-31,151907.7913180904,201902.0116225757,244119.04391965247,268243.5894546813,285834.62048001733,133926.82916192693,32.910899349328886,20.909664028506526,TRUE,TRUE,TRUE,TRUE,TRUE,100,Webber - Camden / Victory / Cleveland / Folwell / McKinley,TRUE,244119.04391965247,268243.5894546813,285834.62048001733,FALSE,4266.554601760296,10.622301446210754,FALSE,1898.222222222222,0.9625456763860144,1.894755216137911,4.042834837070153,0.9625456763860144,1.894755216137911,4.042834837070153,63.52726554133484,53.68146632520679,10.622301446210754,2.1055017824578077,56.73174145480353,50.964439201381474,50.357676320989995,61.79585898009887,100,87.08183087168487,55.661405043200496,21.660026560424967,35.19751535137945,77.55128084829747,68.73269439101603,68.73269439101603,2,High Opportunity,TRUE
55439,643105.8414490497,2.498921264468924,17.512114400454358,25.268896477729225,172178.53115074517,53.553368138096445,4.157909915661637,3359.0603469337893,10.510384197696528,8.504910823356951,NA,NA,NA,NA,NA,298206.50837637397,377683.3012799421,583881.5628815357,766319.1230187793,991670.8697031324,693464.3613267585,26.651595679883172,54.59554629574627,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA,TRUE,583881.5628815357,766319.1230187793,991670.8697031324,FALSE,3359.0603469337893,4.157909915661637,TRUE,3215.5292072452485,2.498921264468924,5.526341108884059,4.6089036059292265,2.498921264468924,5.314598943559839,4.6089036059292265,NA,53.553368138096445,4.157909915661637,4.152687921470366,93.45554181788431,82.53668284054667,100,71.43907037253524,99.67144922919806,49.907648787954734,NA,NA,100,100,67.42967228523736,67.42967228523736,3,High Opportunity,FALSE
55419,463298.02843040926,3.191879317808461,9.686304313691023,18.686060601142856,150997.6325414459,41.003661542391264,1.263025525496812,4911.783968552385,19.53492011414751,7.087506409160826,18.02049945071606,87.32323288185536,1117.3333333333337,1866.5555555555557,2026-03-31,232001.3365109704,341109.9526526148,466559.64299856406,638633.0246928907,860524.9293361129,628523.5928251426,47.02930499561372,36.776907085354615,TRUE,TRUE,TRUE,TRUE,TRUE,100,Windom / Field / Page / Tangletown / Lynnhurst / Regina / Kenny,TRUE,466559.64299856406,638633.0246928907,860524.9293361129,FALSE,4911.783968552385,1.263025525496812,FALSE,1866.5555555555557,3.191879317808461,3.1297902939241062,3.485605005791226,3.191879317808461,3.1297902939241062,3.485605005791226,18.02049945071606,41.003661542391264,1.263025525496812,3.24047513025041,77.09165589905491,96.77684693938996,68.28539933206821,52.303222479369914,67.48351692219762,33.26030326088175,24.02447985040885,40.8100929614874,33.63973215894936,87.33251341040001,61.49989644137552,61.49989644137552,4,Moderate Opportunity,TRUE
55417,362243.7147349823,3.53333156944132,9.81437975880554,22.29034134437856,118149.9440742303,34.608978758372245,-1.5948821001773212,3806.949978911852,16.99474036176366,6.2543315056938,31.965794213786005,140.94760565278594,1139.3333333333333,1970.4666666666665,2026-03-31,203731.82386980168,299407.2985749783,397623.6320443184,489553.9415742426,551281.453039165,347549.6291693633,46.96147753839365,32.803586932181794,TRUE,TRUE,TRUE,TRUE,TRUE,100,Minnehaha / Diamond Lake / Hale / Keewaydin / Wenonah / Morris Park,TRUE,397623.6320443184,489553.9415742426,551281.453039165,FALSE,3806.949978911852,-1.5948821001773212,FALSE,1970.4666666666665,3.53333156944132,3.1699145867884138,4.106640340934353,3.348725113614784,3.1699145867884138,4.106640340934353,31.965794213786005,34.608978758372245,-1.5948821001773212,3.4666797097141284,81.1494656209628,100,68.8678420670358,62.88281165371754,51.082207855164455,16.82559661397997,33.71943919628123,41.68658698539176,38.75144739249544,90.89809210014056,60.66543453866384,60.66543453866384,5,Moderate Opportunity,TRUE
55430,272026.68464060576,2.8726166834937583,11.78410286255521,31.095540567366648,81301.70596616207,53.6882083350547,-1.4456579011630672,2419.422051461171,20.244761809160902,5.962226179875334,10.135135135135132,78.94236411335203,210,1819,2026-03-31,165669.61934394864,227129.02475454964,281217.54919546895,318511.369879655,346514.31608550466,180844.696741556,37.09757145213475,23.814008138929353,TRUE,TRUE,TRUE,TRUE,TRUE,100,Shingle Creek / Lind - Bohanon / Humboldt Industrial Area / Camden Industrial,TRUE,281217.54919546895,318511.369879655,346514.31608550466,FALSE,2419.422051461171,-1.4456579011630672,FALSE,1819,2.8726166834937583,3.7831102683592244,5.564424333219464,2.8726166834937583,3.7831102683592244,5.564424333219464,10.135135135135132,53.68146632520679,-1.4456579011630672,3.909766029871371,89.09784571937205,90.21605688671596,77.76896765327919,87.71675405695036,100,17.683726496620828,18.54246690153946,4.661354581673307,31.30032441733502,86.33612863941921,60.4642272239474,60.4642272239474,6,Moderate Opportunity,FALSE
55407,304745.15582091553,1.8028911482937888,2.800776816570914,15.552011573810349,81458.086581411,39.21742165239872,-6.762898957870798,3562.5922413265616,39.059342234642784,5.510793611943952,121.50774367451348,139.01808352400516,1536,1534.642857142857,2026-03-31,145909.1993663007,271790.9607225405,338782.02902799135,369109.64193149336,388027.0067918209,242117.80742552024,86.27404022704381,24.64801188654655,TRUE,TRUE,TRUE,TRUE,TRUE,100,Phillips West / Ericsson / Bancroft / East Phillips / Northrop / Powderhorn Park / Corcoran,TRUE,338782.02902799135,369109.64193149336,388027.0067918209,FALSE,3562.5922413265616,-6.762898957870798,FALSE,1534.642857142857,1.8028911482937888,0.9250094645152362,2.9332065565164767,1.8028911482937888,0.9250094645152362,2.9332065565164767,121.50774367451348,39.21742165239872,-4.52076340142192,1.7343173268380396,50.07318530971643,68.23338839970064,36.28088324931106,42.89289053339993,62.9021055382199,0,95.9702251797254,57.49003984063745,17.311899855535934,59.92663263483466,60.43570890740907,60.43570890740907,7,Moderate Opportunity,TRUE
55421,287256.6603755549,2.7370551583885807,12.0787139850381,34.17190890038854,114687.2336448598,46.15631675130712,-5.9823454782997505,30.411843575418995,11.942179797815395,6.361682242990653,NA,NA,NA,1480.2777777777776,2026-03-31,179010.5361453298,253267.6395990092,302390.4159607424,343082.09646629496,380218.40802754974,201207.87188221992,41.48197366069768,19.39559923230135,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,302390.4159607424,343082.09646629496,380218.40802754974,TRUE,NA,NA,FALSE,1480.2777777777776,2.7370551583885807,3.8742050245235804,6.0552860640887385,2.7370551583885807,3.8742050245235804,6.0552860640887385,NA,46.15631675130712,NA,4.02147283126762,91.10171737300334,87.43029178349792,79.09129572772034,96.0787830110827,80.69922964034642,NA,NA,NA,14.637510164271204,97.99022889027553,56.067812992393065,56.067812992393065,8,Moderate Opportunity,FALSE
55424,907995.579975398,2.1289041294206843,20.068321646801618,21.02958640647396,219279.1207752305,28.69612893334839,4.793089891148844,4479.192389506027,10.53403536936058,9.067643583077288,NA,NA,NA,2795,2026-03-31,NA,565095.2371222136,708227.1653566756,1048785.744027965,1653250.786078286,NA,NA,25.32881518580324,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,708227.1653566756,1048785.744027965,1653250.786078286,FALSE,4479.192389506027,4.793089891148844,FALSE,2795,2.1289041294206843,6.286020476344989,3.891091681934289,2.1289041294206843,5.314598943559839,3.891091681934289,NA,28.69612893334839,4.793089891148844,3.8437289432047477,87.9132280917467,74.9328968724384,100,59.21085270024403,35.91672104016112,53.56031987897928,NA,NA,79.31284217981245,99.96680151725735,53.813722917874756,53.813722917874756,9,Moderate Opportunity,FALSE
55444,322270.9856132371,1.86790027510496,13.512941921493882,31.706997656581336,111567.39964788732,38.11863270134758,0.8872554784915758,5084.26902074991,12.246218640393732,6.900902288732395,NA,NA,NA,NA,NA,NA,293291.1647318039,340367.6939889403,360500.6227524626,383926.8913272589,NA,NA,16.051124247191318,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA,TRUE,340367.6939889403,360500.6227524626,383926.8913272589,FALSE,5084.26902074991,0.8872554784915758,TRUE,1611.3549280661855,1.86790027510496,4.3154077122092405,5.662716044577731,1.86790027510496,4.3154077122092405,5.662716044577731,NA,38.11863270134758,0.8872554784915758,3.795607192314865,87.04998779369821,69.56931433237754,85.49577744555951,89.39119328217475,60.0838926894655,31.09939699724182,NA,NA,21.085608531563324,97.56345814031843,53.65141207046074,53.65141207046074,10,Moderate Opportunity,FALSE
