zip_code,income_2023,income_growth_pct,pop_change_pct,population_2023,pct_renter_2023,median_rooms_2023
55401,104563,9.212161724616944,41.970963484381876,27.91350015446401,52.43215565796211,3.8
55402,67130,8.614050415817234,32.52675663099116,2159.0078602620088,86.18662747979428,2.6
55403,63373.315575007546,46.3321238207359,9.18934411070236,3614.3955475601533,75.49649358413456,2.962881074554784
55404,48889.36044163189,65.11082775350502,1.8121759814028087,3595.866635249764,81.75210884937395,3.3440285444997984
55405,74711.39014300909,20.133681872596483,6.372046039806834,3850.692316593381,68.58292917342686,4.146944805578537
55406,92116.53857383491,45.25837283178187,4.111008285033511,3387.6701291409313,34.24308437905728,5.467956204379561
55407,81458.086581411,39.21742165239872,-6.762898957870798,3562.5922413265616,39.059342234642784,5.510793611943952
55408,76301.44698402692,39.017528326326534,9.673032632083924,4048.3784678436314,74.5786968778019,3.9227931904161415
55409,101223.64277631085,33.39872619567825,-3.6157202441204976,3447.794794417201,35.3424230864467,5.856393813655225
55410,145038.3108472747,25.29180392896987,4.945218471887333,4347.658931462493,22.682469268636396,6.823885590933621
55411,57115.73294059891,41.34411961039279,-4.670738534596333,2416.684610624945,43.8289779628812,5.612449680903288
55412,76082.29479517546,64.71941718942068,10.622301446210754,4266.554601760296,26.50323888358082,6.013354340975767
55413,85710.97956403268,41.6410030141532,12.732675522403943,2499.4688816660646,61.84502978062458,4.320312112955164
55414,55158.405827377675,11.402544487574682,7.381281191228249,1964.6461137646547,75.08117725295226,3.5060142935678944
55415,64345.17142857143,49.24112988005024,15.453205011769853,870.5435637998876,76.98433761210043,2.7169230769230768
55416,108420.49927561573,28.89562028466793,7.315730787063003,4015.8636658839982,49.78068920984184,4.846975071189489
55417,118149.9440742303,34.608978758372245,-1.5948821001773212,3806.949978911852,16.99474036176366,6.2543315056938
55418,96958.857418882,40.28605110079206,2.1024791682752224,3362.042824843729,35.452222196120445,5.616510093943634
55419,150997.6325414459,41.003661542391264,1.263025525496812,4911.783968552385,19.534920114147514,7.087506409160826
55420,74732.04248241779,32.78941937048709,4.608777151126428,4389.466736361908,37.785216584659494,5.624139897357917
55421,114687.23364485979,46.156316751307116,-5.9823454782997505,30.411843575418995,11.942179797815395,6.361682242990653
55422,99761.87267284805,38.16348699029508,-0.32797730672732994,4325.545228882237,26.952657745729265,6.256625538439074
55423,86906.59016811004,43.257579695523624,2.1858845491479615,3299.206455793132,38.242604914415466,5.1139836984207845
55424,219279.12077523046,28.69612893334839,4.793089891148844,4479.192389506027,10.534035369360579,9.067643583077288
55425,76550.25207078313,24.79253125079661,16.352563746325153,4223.72609186747,57.85876926675007,4.6878388554216865
55426,101287.86457349699,35.803274889038896,1.3482469830844883,3486.879603399433,34.09336783137092,5.4438463959710415
55427,85669.61660280974,16.00805185748972,3.1062520574623824,4758.131460195828,34.66849217789668,6.242009365687527
55428,70774.67961904763,36.122000562102336,2.8601035223804647,4546.463085714286,45.32273791913427,5.386666666666667
55429,70679.68611893184,30.012191794235548,4.714996068672906,4186.700366862896,41.83422559608033,5.266333930552001
55430,81301.70596616207,53.6882083350547,-1.4456579011630672,2419.422051461171,20.244761809160902,5.962226179875334
55431,100697.12316281191,29.625239078171663,5.925144432308419,3639.816679958983,32.026869870614604,6.291352398313775
55435,80856.4704121575,14.623376497719907,1.8344378667160046,3715.4298871747637,52.5901744939404,4.244853787704352
55436,144098.86978774652,28.799650841359455,8.806276948010396,5530.626524160771,23.103398225167325,7.08083697124793
55437,94944.77024698448,37.072574431884924,3.803069090188609,1282.2802337118287,28.970311433955924,6.345031591039632
55438,106785.76932898283,24.33566082648225,-4.512869973360109,3915.7020563770793,20.045081636082752,6.595701517945808
55439,172178.53115074517,53.553368138096445,4.157909915661637,3359.0603469337893,10.510384197696528,8.504910823356951
55441,106099.17914900297,34.872521634731235,-1.6821654538979518,2956.264953428347,44.40570313266845,5.991427225624117
55442,126620.43438608343,24.316792270402576,2.3065296214386377,4401.569836176322,22.83257941868872,6.871727748691099
55443,106513.47886734549,28.82911436061377,8.96582516743622,3004.411991531831,18.064399973648804,6.694810991770121
55444,111567.39964788732,38.11863270134758,0.8872554784915758,5084.26902074991,12.246218640393732,6.900902288732395
55445,99667.38028169013,30.805262263741383,6.8439958510572545,7518.162076939247,25.821319175858733,6.2696237124237975
55446,112554.87594936708,26.590436876109823,8.204146475429928,988.771967082559,40.93886173086836,5.56126582278481
55447,122052.45569620254,28.969399992232304,-0.2908636445292462,4510.241793606522,24.222902998639505,6.546170349710363
55450,NA,NA,NA,0,NA,NA
55455,NA,NA,NA,0,NA,NA
55467,NA,NA,NA,0,NA,NA
