zip_code,current_price,pct_change_1yr,pct_change_3yr,pct_change_5yr,income_2023,income_growth_pct,pop_change_pct,population_2023,pct_renter_2023,median_rooms_2023,permit_growth_pct,value_growth_pct,recent_permit_count,monthly_rent_estimate,rent_data_date,price_1bed,price_2bed,price_3bed,price_4bed,price_5bed,bed_price_spread,price_2bed_premium,price_3bed_premium,has_price_data,has_census_data,has_permit_data,has_rent_data,has_bedroom_data,data_completeness,neighborhoods
55407,304745.15582091553,1.8028911482937888,2.800776816570914,15.552011573810349,81458.086581411,39.21742165239872,-6.762898957870798,3562.5922413265616,39.059342234642784,5.510793611943952,121.50774367451348,139.01808352400516,1536,1534.642857142857,2026-03-31,145909.1993663007,271790.9607225405,338782.02902799135,369109.64193149336,388027.0067918209,242117.80742552024,86.27404022704381,24.64801188654655,TRUE,TRUE,TRUE,TRUE,TRUE,100,Phillips West / Ericsson / Bancroft / East Phillips / Northrop / Powderhorn Park / Corcoran
55423,328775.7845088377,2.8339984990828153,11.735944880661227,27.0943847236618,86906.59016811004,43.257579695523624,2.1858845491479615,3299.206455793132,38.242604914415466,5.1139836984207845,NA,NA,NA,1320.3768115942028,2026-03-31,149147.0233201049,305656.94256401696,350155.27957057516,391831.58022545953,427225.8345332648,278078.81121315993,104.93666971013202,14.558261504967597,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55406,328908.6231220083,2.0549283178801496,6.337784774155483,18.68676782340187,92116.53857383491,45.25837283178187,4.111008285033511,3387.6701291409313,34.24308437905728,5.467956204379561,124.86922906971971,132.01904987374118,2603,1489.1851674641148,2026-03-31,206861.15994640533,297415.56956701074,370343.8379213973,441276.51149514294,483521.58914116886,276660.42919476354,43.77545289027032,24.520662607057993,TRUE,TRUE,TRUE,TRUE,TRUE,100,Howe / Hiawatha / Cooper / Standish / Seward / Longfellow
55433,300503.7830566247,2.9460683536289394,13.983358328260358,36.32451002844925,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523.0059523809523,2026-03-31,NA,255552.3141038003,317718.25467233587,354834.8604339557,374387.7951825523,NA,NA,24.326111382143452,TRUE,FALSE,FALSE,TRUE,TRUE,33.33333333333333,NA
55443,373441.41982495546,0.6605616502611932,11.869496265389461,28.582480758833707,106513.47886734549,28.82911436061377,8.96582516743622,3004.411991531831,18.064399973648804,6.694810991770121,NA,NA,NA,1495.3452380952378,2026-03-31,NA,288201.6597825918,353133.51343693415,449590.06881397095,501137.4914857347,NA,NA,22.530006837338977,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55434,317711.21057109296,2.829429828722352,14.305413317685044,36.21708189343768,NA,NA,NA,NA,NA,NA,NA,NA,NA,1888.3333333333333,2026-03-31,NA,265414.4865822326,327153.10495962907,366943.2495496,422937.6706324091,NA,NA,23.261208976348847,TRUE,FALSE,FALSE,TRUE,TRUE,33.33333333333333,NA
55432,305115.37477135955,3.148357353047261,14.47916779570376,36.12453890509541,NA,NA,NA,NA,NA,NA,NA,NA,NA,1476.4029304029302,2026-03-31,130174.91618037802,264448.33544650394,322073.4801146732,357069.16316412325,388028.83043025265,257853.91424987465,103.14845840197724,21.79070046739864,TRUE,FALSE,FALSE,TRUE,TRUE,33.33333333333333,NA
55408,289113.85737644543,0.5843110030171738,-0.06483152102295943,9.241566836448603,76301.44698402692,39.017528326326534,9.673032632083924,4048.3784678436314,74.5786968778019,3.9227931904161415,52.23160107868616,47.92018201693777,1410.6666666666667,1453.556698744199,2026-03-31,136258.01540894737,243296.61263448908,363802.8005515163,439275.88051235775,518400.2271930883,382142.21178414096,78.55581699490469,49.53056543292974,TRUE,TRUE,TRUE,TRUE,TRUE,100,Lowry Hill East / South Uptown / East Harriet / Central / East Isles / Lyndale / East Bde Maka Ska / West Maka Ska
55428,302795.36263303546,1.5328574453875363,11.723774199734725,28.441548347842772,70774.67961904763,36.122000562102336,2.8601035223804647,4546.463085714286,45.32273791913427,5.386666666666667,NA,NA,NA,1417.1005291005292,2026-03-31,98589.50164730196,270123.6700730436,317032.47166518593,358194.26717295655,388576.5402995262,289987.03865222423,173.9882701095243,17.36567609179077,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55411,235309.34276159512,1.366478542248716,5.0763141350676655,25.311285185698306,57115.73294059891,41.34411961039279,-4.670738534596333,2416.684610624945,43.8289779628812,5.612449680903288,46.920825538062616,47.2990450338593,941.6666666666667,1899.0317460317465,2026-03-31,NA,193295.42475815947,239447.25412304708,267701.8462131102,284047.19547757483,NA,NA,23.876317518963642,TRUE,TRUE,TRUE,TRUE,TRUE,100,Sumner - Glenwood / Jordan / Hawthorne / Willard - Hay / Near - North
55418,336064.3484605675,2.2422494057811195,7.574136049446545,22.365656568057656,96958.857418882,40.28605110079206,2.1024791682752224,3362.042824843729,35.452222196120445,5.616510093943634,33.610652669073794,177.47217180501082,824.3333333333334,1745.288888888889,2026-03-31,178008.79879643905,288096.46581329947,358632.55308964197,413520.8616038197,467966.8490680908,289958.0502716517,61.84394690666417,24.483496205765093,TRUE,TRUE,TRUE,TRUE,TRUE,100,Bottineau / Holland / Audubon Park / Windom Park / Columbia Park / Waite Park / Marshall Terrace
55416,403229.25059482426,1.5857800528855719,7.891201420053171,16.257728830488393,108420.49927561573,28.89562028466793,7.315730787063003,4015.8636658839982,49.78068920984184,4.846975071189489,-16.448801742919393,-39.780534028686795,255.66666666666666,1883.5830212234705,2026-03-31,187991.91453604077,325960.171743946,468149.7850461441,642728.6895892035,868037.7625288684,680045.8479928277,73.39052721943246,43.62177518236597,TRUE,TRUE,TRUE,TRUE,TRUE,100,Cedar - Isles - Dean
55429,288671.3183249952,2.629435946341794,12.7666666542295,33.100319555988534,70679.68611893184,30.012191794235548,4.714996068672906,4186.700366862896,41.83422559608033,5.266333930552001,NA,NA,NA,NA,NA,NA,250133.56946336836,299290.32554913213,329117.38018380816,356052.421737832,NA,NA,19.65220269763219,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA
55421,287256.6603755549,2.7370551583885807,12.0787139850381,34.17190890038854,114687.23364485979,46.156316751307116,-5.9823454782997505,30.411843575418995,11.942179797815395,6.361682242990653,NA,NA,NA,1480.2777777777776,2026-03-31,179010.5361453298,253267.6395990092,302390.4159607424,343082.09646629496,380218.40802754974,201207.87188221994,41.48197366069768,19.39559923230135,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55448,322429.64787526237,2.276018979969908,13.591487639769676,33.962940496363544,NA,NA,NA,NA,NA,NA,NA,NA,NA,1762,2026-03-31,NA,255586.28615614597,331586.85540536133,380653.84089253127,438124.3135015089,NA,NA,29.735777451996835,TRUE,FALSE,FALSE,TRUE,TRUE,33.33333333333333,NA
55414,364394.4681370033,-0.06047132287261899,0.5580196027302646,10.683836368741275,55158.405827377675,11.402544487574682,7.381281191228249,1964.6461137646547,75.08117725295226,3.5060142935678944,14.62707074293555,-57.75237884073027,561.3333333333333,1601.192086834734,2026-03-31,230241.67710950095,343868.70482777915,351681.47394038056,372564.8428958897,399479.2559129507,169237.57880344978,49.351198768517555,2.2720209786215655,TRUE,TRUE,TRUE,TRUE,TRUE,100,Como / Prospect Park - East River Road / Marcy Holmes
55419,463298.02843040926,3.1918793178084606,9.686304313691025,18.686060601142856,150997.6325414459,41.003661542391264,1.263025525496812,4911.783968552385,19.534920114147514,7.087506409160826,18.02049945071606,87.32323288185536,1117.3333333333335,1866.5555555555557,2026-03-31,232001.3365109704,341109.9526526148,466559.64299856406,638633.0246928907,860524.9293361129,628523.5928251426,47.02930499561372,36.776907085354615,TRUE,TRUE,TRUE,TRUE,TRUE,100,Windom / Field / Page / Tangletown / Lynnhurst / Regina / Kenny
