zip_code,price_1bed,price_2bed,price_3bed,price_4bed,price_5bed,bed_price_spread,price_2bed_premium,price_3bed_premium
55401,270395.2348747826,414846.5067412442,735800.2606755487,NA,NA,465405.0258007661,53.42226978717118,77.36686912359511
55403,152542.60732556044,282129.79085716273,551162.0805428018,1010704.9300698256,1255230.8040522828,1102688.1967267224,84.9514675300088,95.35763269389912
55404,176738.38568508867,271251.1515132072,279188.17291425605,289927.17789921747,412111.2612063706,235372.87552128194,53.4760830035648,2.9260784172790575
55405,164490.7113389894,320133.82499747997,462298.4157625193,696853.4036213071,1025662.2338702304,861171.522531241,94.6212174484033,44.40786310729846
55406,206861.15994640533,297415.56956701074,370343.8379213973,441276.51149514294,483521.58914116886,276660.42919476354,43.77545289027032,24.520662607057993
55407,145909.1993663007,271790.9607225405,338782.02902799135,369109.64193149336,388027.0067918209,242117.80742552024,86.27404022704381,24.64801188654655
55408,136258.01540894737,243296.61263448908,363802.8005515163,439275.88051235775,518400.2271930883,382142.21178414096,78.55581699490469,49.53056543292974
55409,156809.51949707547,277157.266893908,391035.5965904246,494979.6911173654,601507.2721932711,444697.7526961956,76.7477304839755,41.08798263626539
55410,214821.10637104817,434658.5480367777,558422.2725212041,774118.5872722544,1200029.6747789572,985208.568407909,102.33512217650389,28.473781326383662
55412,151907.7913180904,201902.0116225757,244119.04391965247,268243.5894546813,285834.62048001733,133926.82916192693,32.910899349328886,20.909664028506526
55413,228434.5594739573,338243.672330112,376661.8066929087,411952.3106331296,459535.11418915185,231100.55471519454,48.07027146375087,11.358123597151032
55414,230241.67710950095,343868.70482777915,351681.47394038056,372564.8428958897,399479.2559129507,169237.57880344978,49.351198768517555,2.2720209786215655
55415,186925.9460752943,532730.0485080475,924655.2931717436,NA,NA,737729.3470964493,184.99523992964694,73.56920184271823
55416,187991.91453604077,325960.171743946,468149.7850461441,642728.6895892035,868037.7625288684,680045.8479928277,73.39052721943246,43.62177518236597
55417,203731.82386980168,299407.2985749783,397623.6320443184,489553.9415742426,551281.453039165,347549.6291693633,46.96147753839365,32.803586932181794
55418,178008.79879643905,288096.46581329947,358632.55308964197,413520.8616038197,467966.8490680908,289958.0502716517,61.84394690666417,24.483496205765093
55419,232001.3365109704,341109.9526526148,466559.64299856406,638633.0246928907,860524.9293361129,628523.5928251426,47.02930499561372,36.776907085354615
55420,182021.2966001976,292062.789823182,336672.71951731126,377148.08329535153,408122.04560128873,226100.74900109114,60.455284781695674,15.27408874000574
55421,179010.5361453298,253267.6395990092,302390.4159607424,343082.09646629496,380218.40802754974,201207.87188221994,41.48197366069768,19.39559923230135
55422,194775.924435767,280682.758960191,336778.04797030403,414693.965643129,540478.610083175,345702.685647408,44.105468770476435,19.985299139114204
55423,149147.0233201049,305656.94256401696,350155.27957057516,391831.58022545953,427225.8345332648,278078.81121315993,104.93666971013202,14.558261504967597
55425,247929.08156413137,324701.6192141398,339619.5574066933,379797.61593988,426485.38746465,178556.3059005186,30.965523352753532,4.594352879624887
55426,147910.38540881046,278823.6745378521,376640.1851103993,454963.557684082,611047.2592878132,463136.87387900276,88.50851734799392,35.08185262054137
55427,117228.41092823465,299181.9245210397,362110.2048183184,421268.0826478603,486395.1531128302,369166.74218459555,155.21281245055357,21.033449931181703
55428,98589.50164730196,270123.6700730436,317032.47166518593,358194.26717295655,388576.5402995262,289987.03865222423,173.9882701095243,17.36567609179077
55430,165669.61934394864,227129.02475454964,281217.54919546895,318511.369879655,346514.31608550466,180844.69674155602,37.09757145213475,23.814008138929353
55432,130174.91618037802,264448.33544650394,322073.4801146732,357069.16316412325,388028.83043025265,257853.91424987465,103.14845840197724,21.79070046739864
55435,132700.60543038524,212452.56544506823,581734.030854167,759780.2152449116,897859.4515347425,765158.8461043573,60.09916816583093,173.81831310696984
55436,143517.42732685758,268328.48975867545,608807.5212840202,823824.2249869289,1258883.2452605795,1115365.817933722,86.96578858507796,126.88888601861052
55437,155886.25494833893,280922.7303418739,391503.3917539545,475567.8647278068,535804.4052162193,379918.1502678803,80.21007075638089,39.363372724416976
55438,154698.91304849615,251394.63652900665,443087.46622721263,556947.3774314831,683244.7723167334,528545.8592682373,62.50575493713883,76.2517579312349
55439,298206.50837637397,377683.3012799421,583881.5628815357,766319.1230187793,991670.8697031324,693464.3613267585,26.651595679883172,54.59554629574627
55442,202299.29331117027,288501.742017206,479406.3383305585,552389.7777101869,643871.8541327232,441572.5608215529,42.61134445657299,66.1710376438445
55411,NA,193295.42475815947,239447.25412304708,267701.8462131102,284047.19547757483,NA,NA,23.876317518963642
55424,NA,565095.2371222136,708227.1653566756,1048785.744027965,1653250.786078286,NA,NA,25.32881518580324
55429,NA,250133.56946336836,299290.32554913213,329117.38018380816,356052.421737832,NA,NA,19.65220269763219
55431,NA,334502.0367960005,373725.1458311468,419042.6050602231,455684.5603368445,NA,NA,11.725820688818981
55433,NA,255552.3141038003,317718.25467233587,354834.8604339557,374387.7951825523,NA,NA,24.326111382143452
55434,NA,265414.4865822326,327153.10495962907,366943.2495496,422937.6706324091,NA,NA,23.261208976348847
55441,NA,320390.6656592399,446182.91369102173,558844.8626529768,674102.8652654554,NA,NA,39.26214509806335
55443,NA,288201.6597825918,353133.51343693415,449590.06881397095,501137.4914857347,NA,NA,22.530006837338977
55444,NA,293291.1647318039,340367.6939889403,360500.6227524626,383926.8913272589,NA,NA,16.051124247191318
55445,NA,224305.52156013896,355926.7600918908,409171.7121634779,468950.95490882295,NA,NA,58.67944650504854
55446,NA,315738.5624651331,465628.974234371,740682.5790828274,901692.9107054184,NA,NA,47.47295059525402
55447,NA,281571.9002271403,463475.3209742158,613449.9683723928,750519.2221937048,NA,NA,64.60283167472906
55448,NA,255586.28615614597,331586.85540536133,380653.84089253127,438124.3135015089,NA,NA,29.735777451996835
