variable,estimate,std.error,p.value,sig_05pct,sig_10pct
Intercept (baseline),0.9531397674673341,1.9379763472398683,0.6317185455805323,FALSE,FALSE
Income Growth %,0.008727083554619496,0.016139910056333008,0.5985979148352828,FALSE,FALSE
Population Change %,-0.052490152862040965,0.02179865308608539,0.03303586636932239,TRUE,TRUE
Permit Growth %,-7.429700578732472e-4,0.005048192274823733,0.8854373269418413,FALSE,FALSE
Monthly Rent ($),4.2022197604663785e-4,0.001025265433032191,0.6891261400795545,FALSE,FALSE
Renter Share %,-0.0349162170437617,0.0099271301656554,0.0042448505233871605,TRUE,TRUE
2024 Price ($),5.125858303027544e-6,3.074675395719446e-6,0.1213553237928191,FALSE,FALSE
