zip_code,current_price,pct_change_1yr,pct_change_3yr,pct_change_5yr,income_2023,income_growth_pct,pop_change_pct,population_2023,pct_renter_2023,median_rooms_2023,permit_growth_pct,value_growth_pct,recent_permit_count,monthly_rent_estimate,rent_data_date,price_1bed,price_2bed,price_3bed,price_4bed,price_5bed,bed_price_spread,price_2bed_premium,price_3bed_premium,has_price_data,has_census_data,has_permit_data,has_rent_data,has_bedroom_data,data_completeness,neighborhoods,bedroom_data_reliable,price_3bed_clean,price_4bed_clean,price_5bed_clean,low_pop_flag,population_2023_clean,pop_change_pct_clean,rent_imputed,monthly_rent_final,pct_change_1yr_ann,pct_change_3yr_ann,pct_change_5yr_ann,pct_change_1yr_w,pct_change_3yr_w,pct_change_5yr_w,permit_growth_pct_w,income_growth_pct_w,pop_change_pct_w,price_blend_raw,score_price_blend,score_price_1yr_ann,score_price_3yr_ann,score_price_5yr_ann,score_income_growth,score_pop_change,score_permit_growth,score_permit_volume,score_rent_level,score_pct_renter,investment_score_raw,investment_score,rank,score_tier,is_mpls_city
55406,342020.6290827551,2.1985224602296753,6.123367800329514,10.576961158698394,92116.53857383491,45.25837283178187,4.111008285033511,3387.6701291409313,34.24308437905728,5.467956204379561,124.86922906971972,132.01904987374118,2602.9999999999995,1489.1851674641148,2026-03-31,206861.15994640533,297415.56956701074,370343.8379213973,441276.51149514294,483521.58914116886,276660.42919476354,43.77545289027032,24.520662607057993,TRUE,TRUE,TRUE,TRUE,TRUE,100,Howe / Hiawatha / Cooper / Standish / Seward / Longfellow,TRUE,370343.8379213973,441276.51149514294,483521.58914116886,FALSE,3387.6701291409313,4.111008285033511,FALSE,1489.1851674641148,2.1985224602296753,2.0008226898688974,2.0311848836761737,2.1985224602296753,2.0008226898688974,2.0311848836761737,124.86922906971972,45.25837283178187,4.111008285033511,2.0776081579469885,70.32339331475403,76.91727955583889,69.53328860295913,61.27582390435874,78.39615124749754,49.63793589250984,98.3071757284203,100,13.90308313818411,66.68707797656896,75.27718875092485,75.27718875092485,1,High Opportunity,TRUE
55412,233340.99860092977,2.2368580532985907,5.515492077761528,10.563410638712863,76082.29479517546,64.71941718942068,10.622301446210754,4266.554601760296,26.50323888358082,6.013354340975767,63.52726554133484,16.025704220440073,636.6666666666667,1898.222222222222,2026-03-31,151907.7913180904,201902.0116225757,244119.04391965247,268243.5894546813,285834.62048001733,133926.82916192693,32.910899349328886,20.909664028506526,TRUE,TRUE,TRUE,TRUE,TRUE,100,Webber - Camden / Victory / Cleveland / Folwell / McKinley,TRUE,244119.04391965247,268243.5894546813,285834.62048001733,FALSE,4266.554601760296,10.622301446210754,FALSE,1898.222222222222,2.2368580532985907,1.8056957370417237,2.0286841034578895,2.2368580532985907,1.8056957370417237,2.0286841034578895,63.52726554133484,53.68146632520679,10.622301446210754,2.0123496393356683,69.07347743755251,77.54275970467718,64.82355639448343,61.23175463030726,100,87.08183087168487,55.661405043200496,21.660026560424974,32.45980070307801,77.55128084829747,68.59580865860096,68.59580865860096,2,High Opportunity,TRUE
55439,677395.8555070668,2.2904365765539385,7.964101682004731,23.777789185338335,172178.53115074517,53.553368138096445,4.157909915661637,3359.0603469337893,10.510384197696528,8.504910823356951,NA,NA,NA,NA,NA,298206.50837637397,377683.3012799421,583881.5628815357,766319.1230187793,991670.8697031324,693464.3613267585,26.651595679883172,54.59554629574627,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA,TRUE,583881.5628815357,766319.1230187793,991670.8697031324,FALSE,3359.0603469337893,4.157909915661637,TRUE,3386.9792775353344,2.2904365765539385,2.5871879000695985,4.358672088443827,2.2904365765539385,2.5871879000695985,4.228649117740979,NA,53.553368138096445,4.157909915661637,2.8936902412569623,85.95405693897997,78.41694215543632,83.68624428847055,100,99.67144922919806,49.907648787954734,NA,NA,100,100,67.42967228523736,67.42967228523736,3,High Opportunity,FALSE
55419,490661.7511260707,3.512913376055481,9.286690426034042,16.16469496197458,150997.6325414459,41.003661542391264,1.263025525496812,4911.783968552385,19.53492011414751,7.087506409160826,18.02049945071606,87.32323288185536,1117.3333333333337,1866.5555555555557,2026-03-31,232001.3365109704,341109.9526526148,466559.64299856406,638633.0246928907,860524.9293361129,628523.5928251426,47.02930499561372,36.776907085354615,TRUE,TRUE,TRUE,TRUE,TRUE,100,Windom / Field / Page / Tangletown / Lynnhurst / Regina / Kenny,TRUE,466559.64299856406,638633.0246928907,860524.9293361129,FALSE,4911.783968552385,1.263025525496812,FALSE,1866.5555555555557,3.512913376055481,3.0043955851954074,3.0421308993916707,3.512913376055481,3.0043955851954074,3.0421308993916707,18.02049945071606,41.003661542391264,1.263025525496812,3.1918106405454987,91.66404589241849,98.3627655871747,93.75628558102831,79.09092684386775,67.48351692219762,33.26030326088175,24.02447985040885,40.810092961487406,31.023184184551404,87.33251341040001,61.369069042655624,61.369069042655624,4,Moderate Opportunity,TRUE
55417,378243.3340295686,2.4258867675865186,8.106202876878982,14.664673077207008,118149.9440742303,34.608978758372245,-1.5948821001773212,3806.949978911852,16.99474036176366,6.2543315056938,31.965794213786005,140.94760565278594,1139.3333333333337,1970.4666666666665,2026-03-31,203731.82386980168,299407.2985749783,397623.6320443184,489553.9415742426,551281.453039165,347549.6291693633,46.96147753839365,32.803586932181794,TRUE,TRUE,TRUE,TRUE,TRUE,100,Minnehaha / Diamond Lake / Hale / Keewaydin / Wenonah / Morris Park,TRUE,397623.6320443184,489553.9415742426,551281.453039165,FALSE,3806.949978911852,-1.5948821001773212,FALSE,1970.4666666666665,2.4258867675865186,2.632176220961524,2.7746312980665655,2.4258867675865186,2.632176220961524,2.7746312980665655,31.965794213786005,34.608978758372245,-1.5948821001773212,2.5955886815565323,80.24442882579336,80.62693550273964,84.77211654158572,74.37699270712598,51.082207855164455,16.82559661397997,33.71943919628123,41.68658698539179,35.737302669204354,90.89809210014056,60.51472730249929,60.51472730249929,5,Moderate Opportunity,TRUE
55407,314348.554739734,1.1328321374374477,5.010993905998125,6.040325830154273,81458.086581411,39.21742165239872,-6.762898957870798,3562.5922413265616,39.059342234642784,5.510793611943952,121.50774367451348,139.01808352400516,1536,1534.642857142857,2026-03-31,145909.1993663007,271790.9607225405,338782.02902799135,369109.64193149336,388027.0067918209,242117.80742552024,86.27404022704381,24.64801188654655,TRUE,TRUE,TRUE,TRUE,TRUE,100,Phillips West / Ericsson / Bancroft / East Phillips / Northrop / Powderhorn Park / Corcoran,TRUE,338782.02902799135,369109.64193149336,388027.0067918209,FALSE,3562.5922413265616,-6.762898957870798,FALSE,1534.642857142857,1.1328321374374477,1.6431829119721852,1.179891813532774,1.1328321374374477,1.6431829119721852,1.179891813532774,121.50774367451348,39.21742165239872,-4.52076340142192,1.3487373662751743,56.363113579243574,59.52957042304136,60.901023523290085,46.27415869124478,62.9021055382199,0,95.9702251797254,57.490039840637465,15.965354755653738,59.92663263483466,60.36838165241496,60.36838165241496,6,Moderate Opportunity,TRUE
55430,278594.6737378444,0.8073459047072206,5.3564400101437455,14.483090904172766,81301.70596616207,53.6882083350547,-1.4456579011630672,2419.422051461171,20.244761809160902,5.962226179875334,10.135135135135137,78.94236411335201,210,1819,2026-03-31,165669.61934394864,227129.02475454964,281217.54919546895,318511.369879655,346514.31608550466,180844.696741556,37.09757145213475,23.814008138929353,TRUE,TRUE,TRUE,TRUE,TRUE,100,Shingle Creek / Lind - Bohanon / Humboldt Industrial Area / Camden Industrial,TRUE,281217.54919546895,318511.369879655,346514.31608550466,FALSE,2419.422051461171,-1.4456579011630672,FALSE,1819,0.8073459047072206,1.754516682837104,2.742060022436288,0.8073459047072206,1.754516682837104,2.742060022436288,10.135135135135137,53.68146632520679,-1.4456579011630672,1.6698927453914407,62.51429837393586,54.21896581267499,63.58825990420147,73.80301484955082,100,17.683726496620828,18.542466901539463,4.661354581673308,28.865739026904414,86.33612863941921,60.342497954425866,60.342497954425866,7,Moderate Opportunity,FALSE
55421,297789.9573659957,1.1163726104463316,6.504278214215405,16.188482507611727,114687.2336448598,46.15631675130712,-5.9823454782997505,30.411843575418995,11.942179797815395,6.361682242990653,NA,NA,NA,1480.2777777777776,2026-03-31,179010.5361453298,253267.6395990092,302390.4159607424,343082.09646629496,380218.40802754974,201207.87188221992,41.48197366069768,19.39559923230135,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,302390.4159607424,343082.09646629496,380218.40802754974,TRUE,NA,NA,FALSE,1480.2777777777776,1.1163726104463316,2.122714733724429,3.0463506300874243,1.1163726104463316,2.122714733724429,3.0463506300874243,NA,46.15631675130712,NA,2.0014039646678436,68.86383166493727,59.2610182351646,72.47536747307709,79.16528782413103,80.69922964034642,NA,NA,NA,13.498983038383724,97.99022889027553,56.01088663609869,56.01088663609869,8,Moderate Opportunity,FALSE
55444,334974.9193623578,1.1087838369766896,5.883536537843397,17.987626141341988,111567.39964788732,38.11863270134758,0.8872554784915758,5084.26902074991,12.246218640393732,6.900902288732395,NA,NA,NA,NA,NA,NA,293291.1647318039,340367.6939889403,360500.6227524626,383926.8913272589,NA,NA,16.051124247191318,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA,TRUE,340367.6939889403,360500.6227524626,383926.8913272589,FALSE,5084.26902074991,0.8872554784915758,TRUE,1674.8745968117892,1.1087838369766896,1.923926532869702,3.3635204920252404,1.1087838369766896,1.923926532869702,3.3635204920252404,NA,38.11863270134758,0.8872554784915758,1.9985250790960323,68.80869151064898,59.137200477845475,67.67726460381492,84.7545217217818,60.0838926894655,31.09939699724182,NA,NA,22.32722529134149,97.56345814031843,53.713492908449645,53.713492908449645,9,Moderate Opportunity,FALSE
55424,1012386.0033076552,6.768674708477454,13.870458572690772,33.87233479611986,219279.1207752305,28.69612893334839,4.793089891148844,4479.192389506027,10.53403536936058,9.067643583077288,NA,NA,NA,2795,2026-03-31,NA,565095.2371222136,708227.1653566756,1048785.744027965,1653250.786078286,NA,NA,25.32881518580324,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,708227.1653566756,1048785.744027965,1653250.786078286,FALSE,4479.192389506027,4.793089891148844,FALSE,2795,6.768674708477454,4.424809069529201,6.00788444197613,3.6132592500613456,3.263076315854474,4.228649117740979,NA,28.69612893334839,4.793089891148844,3.6270335432985052,100,100,100,100,35.91672104016112,53.56031987897928,NA,NA,73.143772355809,99.96680151725735,53.50526942667459,53.50526942667459,10,Moderate Opportunity,FALSE
